# total density of states output by FHI-aims 
# The energy reference for this output is the vacuum level
#    Energy (eV)      DOS 
    -12.00000000    102.23431334
    -11.99449862    100.28322039
    -11.98899725     99.57629864
    -11.98349587     98.04685634
    -11.97799450     97.01500327
    -11.97249312     95.98301000
    -11.96699175     95.41681297
    -11.96149037     96.03327203
    -11.95598900     96.86810206
    -11.95048762     95.23055856
    -11.94498625     95.02577695
    -11.93948487     97.44530395
    -11.93398350     95.98263930
    -11.92848212     97.34959242
    -11.92298075     99.61588019
    -11.91747937     98.56567786
    -11.91197799     98.84390114
    -11.90647662     97.81360199
    -11.90097524     98.39941285
    -11.89547387     98.78350853
    -11.88997249     97.63046323
    -11.88447112     96.14076397
    -11.87896974     97.10399540
    -11.87346837     96.54785722
    -11.86796699     97.84137526
    -11.86246562     99.66224118
    -11.85696424    101.35484382
    -11.85146287    102.10413159
    -11.84596149    101.88639771
    -11.84046012    101.04375458
    -11.83495874    100.65001524
    -11.82945736    101.47048450
    -11.82395599    100.55992890
    -11.81845461    101.11023726
    -11.81295324    101.00438582
    -11.80745186    101.06250322
    -11.80195049     98.46985650
    -11.79644911     98.48221612
    -11.79094774     97.99477605
    -11.78544636     98.39270393
    -11.77994499     97.19584993
    -11.77444361     97.46155632
    -11.76894224     97.78825445
    -11.76344086     97.56241102
    -11.75793948     97.50434013
    -11.75243811     99.34460007
    -11.74693673    103.97630558
    -11.74143536    109.86879365
    -11.73593398    109.87055610
    -11.73043261    108.50466781
    -11.72493123    108.13055486
    -11.71942986    106.95676917
    -11.71392848    107.51824868
    -11.70842711    107.61180421
    -11.70292573    109.05303462
    -11.69742436    108.47984928
    -11.69192298    107.99373462
    -11.68642161    107.58658013
    -11.68092023    105.32069998
    -11.67541885    105.73168849
    -11.66991748    107.34522587
    -11.66441610    105.17083878
    -11.65891473    104.10174885
    -11.65341335    103.94127026
    -11.64791198    106.91725181
    -11.64241060    104.24226321
    -11.63690923    102.90885279
    -11.63140785    100.87963059
    -11.62590648     99.92325986
    -11.62040510     99.24244817
    -11.61490373    101.20339112
    -11.60940235    104.40822076
    -11.60390098    105.99126738
    -11.59839960    105.93693776
    -11.59289822    108.20594430
    -11.58739685    105.90387151
    -11.58189547    102.97246836
    -11.57639410    104.95429094
    -11.57089272    108.12510494
    -11.56539135    110.03049373
    -11.55988997    114.07330486
    -11.55438860    114.20143178
    -11.54888722    113.16421301
    -11.54338585    118.84282323
    -11.53788447    120.39212453
    -11.53238310    122.66024730
    -11.52688172    126.75968179
    -11.52138035    131.62429783
    -11.51587897    134.48849000
    -11.51037759    137.63133777
    -11.50487622    134.68607721
    -11.49937484    135.87115741
    -11.49387347    137.15964418
    -11.48837209    139.72772548
    -11.48287072    145.43265302
    -11.47736934    148.88186992
    -11.47186797    148.95677670
    -11.46636659    150.00160134
    -11.46086522    155.07437360
    -11.45536384    163.49650579
    -11.44986247    158.33849152
    -11.44436109    155.82576026
    -11.43885971    160.40872347
    -11.43335834    159.65298163
    -11.42785696    160.58080967
    -11.42235559    165.70244762
    -11.41685421    174.80559043
    -11.41135284    176.34350599
    -11.40585146    172.94698132
    -11.40035009    165.16184403
    -11.39484871    168.68484253
    -11.38934734    165.08700180
    -11.38384596    167.05647408
    -11.37834459    173.73742017
    -11.37284321    172.57168144
    -11.36734184    177.31740032
    -11.36184046    174.96580077
    -11.35633908    168.11609535
    -11.35083771    167.79426974
    -11.34533633    162.38320907
    -11.33983496    156.68352799
    -11.33433358    153.69614345
    -11.32883221    152.39925308
    -11.32333083    150.76820255
    -11.31782946    149.24379182
    -11.31232808    148.56734561
    -11.30682671    144.49578280
    -11.30132533    141.94752587
    -11.29582396    137.88990260
    -11.29032258    142.77568769
    -11.28482121    151.77823012
    -11.27931983    148.72894938
    -11.27381845    144.81123556
