# total density of states output by FHI-aims 
# The energy reference for this output is the average chemical potential, mu =       -8.668164 eV
#    Energy (eV)      DOS 
     -3.33183550    102.23431334
     -3.32633413    100.28322039
     -3.32083275     99.57629864
     -3.31533138     98.04685634
     -3.30983000     97.01500327
     -3.30432862     95.98301000
     -3.29882725     95.41681297
     -3.29332587     96.03327203
     -3.28782450     96.86810206
     -3.28232312     95.23055856
     -3.27682175     95.02577695
     -3.27132037     97.44530395
     -3.26581900     95.98263930
     -3.26031762     97.34959242
     -3.25481625     99.61588019
     -3.24931487     98.56567786
     -3.24381350     98.84390114
     -3.23831212     97.81360199
     -3.23281075     98.39941285
     -3.22730937     98.78350853
     -3.22180799     97.63046323
     -3.21630662     96.14076397
     -3.21080524     97.10399540
     -3.20530387     96.54785722
     -3.19980249     97.84137526
     -3.19430112     99.66224118
     -3.18879974    101.35484382
     -3.18329837    102.10413159
     -3.17779699    101.88639771
     -3.17229562    101.04375458
     -3.16679424    100.65001524
     -3.16129287    101.47048450
     -3.15579149    100.55992890
     -3.15029012    101.11023726
     -3.14478874    101.00438582
     -3.13928736    101.06250322
     -3.13378599     98.46985650
     -3.12828461     98.48221612
     -3.12278324     97.99477605
     -3.11728186     98.39270393
     -3.11178049     97.19584993
     -3.10627911     97.46155632
     -3.10077774     97.78825445
     -3.09527636     97.56241102
     -3.08977499     97.50434013
     -3.08427361     99.34460007
     -3.07877224    103.97630558
     -3.07327086    109.86879365
     -3.06776949    109.87055610
     -3.06226811    108.50466781
     -3.05676673    108.13055486
     -3.05126536    106.95676917
     -3.04576398    107.51824868
     -3.04026261    107.61180421
     -3.03476123    109.05303462
     -3.02925986    108.47984928
     -3.02375848    107.99373462
     -3.01825711    107.58658013
     -3.01275573    105.32069998
     -3.00725436    105.73168849
     -3.00175298    107.34522587
     -2.99625161    105.17083878
     -2.99075023    104.10174885
     -2.98524886    103.94127026
     -2.97974748    106.91725181
     -2.97424610    104.24226321
     -2.96874473    102.90885279
     -2.96324335    100.87963059
     -2.95774198     99.92325986
     -2.95224060     99.24244817
     -2.94673923    101.20339112
     -2.94123785    104.40822076
     -2.93573648    105.99126738
     -2.93023510    105.93693776
     -2.92473373    108.20594430
     -2.91923235    105.90387151
     -2.91373098    102.97246836
     -2.90822960    104.95429094
     -2.90272822    108.12510494
     -2.89722685    110.03049373
     -2.89172547    114.07330486
     -2.88622410    114.20143178
     -2.88072272    113.16421301
     -2.87522135    118.84282323
     -2.86971997    120.39212453
     -2.86421860    122.66024730
     -2.85871722    126.75968179
     -2.85321585    131.62429783
     -2.84771447    134.48849000
     -2.84221310    137.63133777
     -2.83671172    134.68607721
     -2.83121035    135.87115741
     -2.82570897    137.15964418
     -2.82020759    139.72772548
     -2.81470622    145.43265302
     -2.80920484    148.88186992
     -2.80370347    148.95677670
     -2.79820209    150.00160134
     -2.79270072    155.07437360
     -2.78719934    163.49650579
     -2.78169797    158.33849152
     -2.77619659    155.82576026
     -2.77069522    160.40872347
     -2.76519384    159.65298163
     -2.75969247    160.58080967
     -2.75419109    165.70244762
     -2.74868972    174.80559043
     -2.74318834    176.34350599
     -2.73768696    172.94698132
     -2.73218559    165.16184403
     -2.72668421    168.68484253
     -2.72118284    165.08700180
     -2.71568146    167.05647408
     -2.71018009    173.73742017
     -2.70467871    172.57168144
     -2.69917734    177.31740032
     -2.69367596    174.96580077
     -2.68817459    168.11609535
     -2.68267321    167.79426974
     -2.67717184    162.38320907
     -2.67167046    156.68352799
     -2.66616909    153.69614345
     -2.66066771    152.39925308
     -2.65516633    150.76820255
     -2.64966496    149.24379182
     -2.64416358    148.56734561
     -2.63866221    144.49578280
     -2.63316083    141.94752587
     -2.62765946    137.88990260
     -2.62215808    142.77568769
     -2.61665671    151.77823012
     -2.61115533    148.72894938
     -2.60565396    144.81123556
     -2.60015258    145.76482962
     -2.59465121    146.30811610
     -2.58914983    143.43831651
     -2.58364845    146.39416801
     -2.57814708    146.67369676
     -2.57264570    143.95190871
     -2.56714433    147.96725546
     -2.56164295    143.28844400
     -2.55614158    146.13723115
     -2.55064020    154.10060900
     -2.54513883    156.63051577
     -2.53963745    155.06319935
     -2.53413608    151.92139320
     -2.52863470    152.03650597
     -2.52313333    150.58851784
     -2.51763195    151.59455978
     -2.51213058    153.93697989
     -2.50662920    157.87736205
     -2.50112782    154.76832254
     -2.49562645    146.88525040
     -2.49012507    148.81587270
     -2.48462370    152.48404145
     -2.47912232    154.53086588
     -2.47362095    154.32882747
     -2.46811957    147.67513537
     -2.46261820    149.35350924
     -2.45711682    154.08208325
     -2.45161545    154.71638876
     -2.44611407    152.21573585
     -2.44061270    152.95395554
     -2.43511132    152.95221475
     -2.42960995    155.06500470
     -2.42410857    159.60649461
     -2.41860719    162.13901984
     -2.41310582    153.43313165
     -2.40760444    150.86164802
     -2.40210307    155.36619139
     -2.39660169    158.74693246
     -2.39110032    156.89784829
     -2.38559894    162.07088354
     -2.38009757    164.16413434
     -2.37459619    167.13764375
     -2.36909482    174.53044307
     -2.36359344    170.95062254
     -2.35809207    165.86320324
     -2.35259069    163.90254519
     -2.34708932    170.26147420
     -2.34158794    166.83978413
     -2.33608656    156.60635847
     -2.33058519    148.90298457
     -2.32508381    143.77938257
     -2.31958244    146.91372519
     -2.31408106    145.95256554
     -2.30857969    140.39630832
     -2.30307831    138.06930631
     -2.29757694    136.54478226
     -2.29207556    133.98018757
     -2.28657419    133.92181329
     -2.28107281    132.42184518
     -2.27557144    129.32439814
     -2.27007006    128.84266051
     -2.26456868    134.12623153
     -2.25906731    138.77169526
     -2.25356593    135.40300392
     -2.24806456    131.38055929
     -2.24256318    134.31077937
     -2.23706181    134.42825328
     -2.23156043    140.50420334
     -2.22605906    139.70110121
     -2.22055768    131.95336879
     -2.21505631    130.13137636
     -2.20955493    128.76412975
     -2.20405356    127.21039560
     -2.19855218    129.43909976
     -2.19305081    130.16034948
     -2.18754943    129.90141190
     -2.18204805    130.58982265
     -2.17654668    126.31560277
     -2.17104530    125.60006423
     -2.16554393    128.00856097
     -2.16004255    126.97336169
     -2.15454118    130.72836523
     -2.14903980    135.37383018
