# total density of states output by FHI-aims 
# The energy reference for this output is the average chemical potential, mu =       -8.663351 eV
#    Energy (eV)      DOS 
     -3.33664941    100.84820079
     -3.33114804    107.02195959
     -3.32564666    105.25988519
     -3.32014529    109.97900331
     -3.31464391     98.14129111
     -3.30914254     96.25118327
     -3.30364116     95.44200521
     -3.29813979     94.78443112
     -3.29263841     94.50014080
     -3.28713704     97.86651812
     -3.28163566     96.79920412
     -3.27613429     96.15596265
     -3.27063291     98.48163929
     -3.26513154     97.31088603
     -3.25963016     98.59280900
     -3.25412878     99.44521256
     -3.24862741    100.25113003
     -3.24312603    101.21271991
     -3.23762466    103.52489290
     -3.23212328    100.18266293
     -3.22662191    100.90319816
     -3.22112053    100.93069396
     -3.21561916     99.25614684
     -3.21011778     96.22465991
     -3.20461641     96.64494999
     -3.19911503     97.20886916
     -3.19361366     99.11023251
     -3.18811228     98.65173975
     -3.18261091     99.67880236
     -3.17710953    101.13183752
     -3.17160815     99.58960261
     -3.16610678     99.19995760
     -3.16060540     98.46124527
     -3.15510403     99.56218828
     -3.14960265    101.04142718
     -3.14410128    103.21288264
     -3.13859990    100.96435860
     -3.13309853    101.88015210
     -3.12759715     99.52161609
     -3.12209578    100.90818970
     -3.11659440    100.33892442
     -3.11109303    100.22199995
     -3.10559165     97.28512400
     -3.10009027     94.89374094
     -3.09458890     94.46074166
     -3.08908752     94.93961114
     -3.08358615     97.74839662
     -3.07808477    105.82861951
     -3.07258340    105.82000935
     -3.06708202    110.61352593
     -3.06158065    109.54714027
     -3.05607927    111.54643939
     -3.05057790    111.82256583
     -3.04507652    110.72050207
     -3.03957515    111.19088132
     -3.03407377    110.79349100
     -3.02857240    108.91457930
     -3.02307102    105.19333572
     -3.01756964    103.72958711
     -3.01206827    102.38231698
     -3.00656689    102.58322393
     -3.00106552    103.74662890
     -2.99556414    100.80718390
     -2.99006277    100.91007039
     -2.98456139    104.98583547
     -2.97906002    105.94984427
     -2.97355864    104.80323972
     -2.96805727    103.73660594
     -2.96255589    100.41339581
     -2.95705452    101.26108230
     -2.95155314    101.07581770
     -2.94605177    101.10786709
     -2.94055039    107.09111301
     -2.93504901    112.85679409
     -2.92954764    108.93136525
     -2.92404626    102.96342968
     -2.91854489    100.57947752
     -2.91304351    104.20654203
     -2.90754214    107.25093329
     -2.90204076    110.90049526
     -2.89653939    114.40233069
     -2.89103801    114.21388696
     -2.88553664    115.23365528
     -2.88003526    118.70703181
     -2.87453389    122.96114286
     -2.86903251    125.32531375
     -2.86353114    126.45247675
     -2.85802976    136.07071493
     -2.85252838    133.28042582
     -2.84702701    133.13385850
     -2.84152563    131.91346826
     -2.83602426    133.77284460
     -2.83052288    135.53008928
     -2.82502151    146.22247808
     -2.81952013    152.07043015
     -2.81401876    147.62952987
     -2.80851738    149.73229911
     -2.80301601    158.39226914
     -2.79751463    155.62212584
     -2.79201326    156.18326843
     -2.78651188    156.94760737
     -2.78101051    164.71384081
     -2.77550913    165.93236904
     -2.77000775    162.42620721
     -2.76450638    164.82661058
     -2.75900500    169.32721957
     -2.75350363    172.16418980
     -2.74800225    168.84046364
     -2.74250088    174.88755574
     -2.73699950    158.20139626
     -2.73149813    153.15478376
     -2.72599675    162.90996986
     -2.72049538    166.84569920
     -2.71499400    152.36383159
     -2.70949263    154.30745376
     -2.70399125    165.76332853
     -2.69848987    181.63219302
     -2.69298850    165.00917359
     -2.68748712    177.98605498
     -2.68198575    173.36856416
     -2.67648437    166.62144622
     -2.67098300    164.44510056
     -2.66548162    157.48925622
     -2.65998025    150.77708847
     -2.65447887    149.56045436
     -2.64897750    136.32149712
     -2.64347612    138.07397350
     -2.63797475    144.28955013
     -2.63247337    148.35001415
     -2.62697200    146.11599145
     -2.62147062    151.29971326
     -2.61596924    151.89489722
     -2.61046787    147.41114980
     -2.60496649    144.10690132
     -2.59946512    145.27260990
     -2.59396374    146.86031159
     -2.58846237    142.51376921
     -2.58296099    144.75037078
     -2.57745962    139.77010361
     -2.57195824    139.50148589
     -2.56645687    137.05704318
     -2.56095549    139.84443019
     -2.55545412    149.51145532
     -2.54995274    161.13143638
     -2.54445137    164.80067489
     -2.53894999    164.90545008
     -2.53344861    167.20413046
     -2.52794724    165.90796193
